gender,name_code,scentopia_oil,main_category,sub_category,perfume_name,main_note,top_note,middle_note,base_note,historical_significance,health_benefits,strength,main_accords,attribute_category,scent_writeup
male,MC1,Men Citrus 1,Citrus,NA,Citrus Got Real : Orange Blossom,Orange Blossom,"Apple
Lemon
Bergamot
Orange Blossom","Rose
Teak Wood
Patchouli","
Vanilla
Musk","Apple and lemon symbolize youth and renewal; bergamot was key in early colognes; orange blossom, sacred in weddings, symbolizes innocence; rose revered across cultures for love; teak wood valued for strength; patchouli for trade and spirituality; vanilla and musk evoke warmth and sensuality.","Apple, lemon, bergamot, and orange blossom boost immunity, improve mood, and refresh the senses. Rose, teak wood, and patchouli reduce anxiety and promote emotional balance. Vanilla and musk calm the mind, while orange blossom relieves stress and supports restful sleep.",7,"Main accords
1- citrus
2- vanilla
3- fruity
4- rose
5- fresh
6- woody
7 -powdery
8- musky
9- green
10- fresh spicy",3- money,"MC1 is a vibrant, uplifting fragrance where crisp apple, lemon, and bergamot awaken the senses, while orange blossom adds a touch of innocence and charm. A romantic heart of rose, teak wood, and patchouli provides emotional depth and grounding. The base of warm vanilla and sensual musk creates a soothing, lasting impression. Rich in symbolic meaning—from youth and love to strength and prosperity—MC1 also offers wellness benefits, from boosting mood and immunity to calming anxiety. With dominant citrus, fruity, and vanilla accords, this fresh yet luxurious scent is ideal for those who radiate confidence, success, and effortless elegance."
Male,MC10,Men Citrus 10,Citrus,NA,An Amber a day! : & Bergamot,amber,"Bergamot
Lemon
Mandarin Orange","Sea Notes
Calone
Blueberry
Neroli
Peach","Amber
Musk
Cedar","Bergamot, lemon, and mandarin orange were treasured in ancient colognes for freshness; sea notes and calone evoke the ocean, a timeless symbol of freedom; blueberry and peach symbolize abundance; neroli represents purity; amber and musk add sensuality; cedar used in sacred rituals.","Bergamot, lemon, and mandarin orange uplift mood, enhance focus, and offer antioxidant benefits. Sea notes, calone, blueberry, neroli, and peach evoke calm, reduce stress, and hydrate skin. amber, musk, and cedar promote relaxation, emotional grounding, and have skin-soothing properties.",5,"Main accords
1- citrus
2- aromatic
3- marine
4- musky
5- fresh
6- fruity
7- amber
8- powdery
9- fresh spicy
10- woody",2- Adult,"This fragrance bursts open with bright bergamot, lemon, and mandarin orange—classic notes of freshness and clarity. MC10 has a heart of sea notes, calone, blueberry, neroli, and peach brings a serene, aquatic vibe, symbolizing freedom, abundance, and purity. The base unfolds with sensual amber, soft musk, and grounding cedar, creating a lasting impression of calm sophistication. Beyond scent, its ingredients are known to uplift mood, reduce stress, and soothe skin. With crisp citrus, marine, and musky accords, this refined fragrance captures the spirit of the modern adult—fresh, composed, and effortlessly confident."
Male,MC11,Men Citrus 11,Citrus,NA,"Scent in need, is a scent indeed : & Vanilla & Iris",Mango,"Mango
Chamomile
Orange Blossom","Coconut
Ylang Ylang
Amber
Fig","Vanilla
Iris Butter
Siam Benzoin
Sandalwood",Mango symbolizes prosperity in tropical cultures; chamomile was prized in ancient healing; orange blossom signifies purity and love; coconut and ylang ylang evoke exotic warmth; amber and fig held sacred meanings; vanilla and iris butter represent luxury; Siam benzoin and sandalwood used in rituals.,"Mango, chamomile, and orange blossom boost immunity, calm the mind, and reduce anxiety. Coconut, ylang ylang, amber, and fig nourish skin and balance emotions. Vanilla, iris butter, Siam benzoin, and sandalwood promote relaxation, ease stress, and support emotional well-being.",8,"Main accords
1- sweet
2- tropical
3- fruity
4- amber
5- herbal
6- vanilla
7- coconut
8- yellow floral
9- floral
10- woody",4- Season,"MC11 is a lush, tropical fragrance opens with juicy mango, calming chamomile, and delicate orange blossom—evoking warmth, serenity, and sunshine. The heart reveals creamy coconut, sensual ylang ylang, golden amber, and sweet fig, adding exotic richness. A luxurious base of vanilla, iris butter, Siam benzoin, and sandalwood wraps the scent in soft, dreamy comfort. Blending fruity, floral, and gourmand notes, it’s a scent that soothes the soul and delights the senses—perfect for those who crave both relaxation and indulgence in a bottle."
Male,MC12,Men Citrus 12,Citrus,NA,Ita s very Fig party : & Orange blossom,Fig,"Bergamot
Lemon
Mandarin Orange","Orange Blossom
White Nerium Oleander","
Fig Leaf
Cypress
Red Cedar
Juniper
Pistachio
Musk","Bergamot, lemon, and mandarin orange were vital in historic perfumery for their uplifting qualities; orange blossom symbolized purity and was used in bridal traditions; white oleander, though toxic, represented beauty; fig leaf and fig were sacred in many cultures; cypress, cedar, and juniper used in rituals; pistachio symbolized abundance; musk added sensuality.","Bergamot, lemon, and mandarin orange invigorate the senses, enhance mood, and provide antioxidant support. Orange blossom and white nerium oleander soothe anxiety and uplift the spirit. Fig leaf, cypress, red cedar, juniper, pistachio, and musk promote relaxation, respiratory health, and emotional balance.",5,"Main accords
1- aromatic
2- woody
3- citrus
4- green
5- fresh spicy
6- fresh
7- sweet
8- floral
9- white floral",4- Season,"The refreshing fragrance of MC12 begins with a zesty burst of bergamot, lemon, and mandarin orange—classic citrus notes that awaken the senses. At its heart, delicate orange blossom and white nerium oleander offer a floral touch of purity and intrigue. The base unfolds into a lush, green blend of fig leaf, cypress, red cedar, juniper, pistachio, and soft musk—evoking sun-drenched Mediterranean landscapes. Grounded in nature yet bright and uplifting, this scent balances fresh citrus, creamy greens, and gentle woodiness, making it a unique and energizing choice for those who love clean sophistication with a botanical twist."
Male,MC2,Men Citrus 2,Citrus,NA,Seas the Day : Orange & Sage,Marine,"Mandarin Orange
Orange
Petitgrain","Seaweed
Lavender
Cotton Flower","Virginia Cedar
Woodsy Notes
Clary Sage
Patchouli
Amber","Mandarin orange, orange, and petitgrain were cherished in early perfumery for their freshness and calming properties; seaweed symbolizes the ocean’s healing power; lavender and cotton flower evoke purity and comfort; Virginia cedar, clary sage, patchouli, amber, and woodsy notes were used in sacred and aromatic traditions.","Mandarin orange, orange, and petitgrain energize the mind, uplift mood, and support digestion. Seaweed, lavender, and cotton flower calm the nervous system, hydrate skin, and promote deep relaxation. Virginia cedar, woodsy notes, clary sage, patchouli, and amber ground emotions and reduce stress.",7,"Main accords
1- citrus
2- marine
3- aromatic
4- aquatic
5- woody
6- lavender
7- fresh spicy
8- powdery",6- Health,"MC2 is a refreshing marine-inspired perfume oil that opens with the vibrant zest of mandarin orange, orange, and petitgrain—classic citrus notes known for their mood-lifting and calming effects. The heart features seaweed, lavender, and cotton flower, evoking the healing essence of the ocean and the comfort of clean linens. A grounding base of Virginia cedar, clary sage, patchouli, amber, and woodsy notes adds depth and serenity. With citrus, marine, and aromatic accords, MC2 blends nature’s vitality with a soothing, spa-like tranquility—perfect for those seeking a scent that revitalizes the senses while promoting emotional and physical well-being."
Male,MC3,Men Citrus 3,Citrus,NA,Coco with the Flow : Marine & Musk,Coconut,"
Ozonic notes
Grapefruit
Bergamot
Ginger","Coconut Nectar
Rosemary
Cedar
Osmanthus","White Musk
Vetiver
Oakmoss
Vanilla","Grapefruit, bergamot, and ginger were valued for their energizing and cleansing properties; coconut nectar symbolizes tropical abundance; rosemary was sacred in ancient Greece; cedar and osmanthus used in rituals and royal gardens; white musk adds sensuality; vetiver, oakmoss, and vanilla offer grounding, spiritual depth, and warmth.","White musk, vetiver, oakmoss, and vanilla promote relaxation, emotional balance, and stress relief. Grapefruit, bergamot, and ginger boost energy, improve circulation, and enhance mood. Coconut nectar, rosemary, cedar, and osmanthus nourish the skin, sharpen focus, and soothe the senses.",6,"Main accords
1- citrus
2- aromatic
3- fresh spicy
4- woody
5- ozonic
6- coconut
7- musky
8- powdery
9- earthy
10- vanilla",4- Season,"MC3 is a vibrant and refreshing fragrance that opens with a lively burst of ozonic notes, grapefruit, bergamot, and spicy ginger—offering clarity, energy, and a clean, crisp vibe. The heart reveals a tropical twist with coconut nectar, rosemary, cedar, and osmanthus, blending herbal sharpness with creamy warmth. A soft yet grounding base of white musk, vetiver, oakmoss, and vanilla brings sensual depth and calm. With citrus, aromatic, and woody accords, MC3 captures the spirit of changing seasons—invigorating like spring air, warm like summer sun, and serene like a cozy autumn breeze. Ideal for those who embrace nature's rhythms."
Male,MC4,Men Citrus 4,Citrus,NA,King Pear: Citrus & Ginger,Pear,"Pear, Ginger, Fresh Grass","Geranium, Sage","Musk, Leather","Pear symbolizes love and longevity in folklore, while ginger has been prized for healing and vitality across ancient cultures. Fresh grass evokes renewal and nature. Geranium and sage represent emotional balance. Musk and leather signify strength, sensuality, and timeless luxury in perfumery.","The ingredients in this fragrance offer subtle wellness benefits. Pear has a light, sweet aroma that uplifts mood and promotes a sense of freshness. Ginger is known for its anti-inflammatory properties, aiding digestion and boosting energy and focus. Fresh grass evokes nature, reducing stress and enhancing mental clarity. Geranium balances emotions and may ease anxiety, often used in aromatherapy for its calming effects. Sage supports mental clarity and emotional stability, with antibacterial qualities. Musk, often used synthetically, provides a grounding and comforting effect. Leather, though an accord, evokes strength and nostalgia, adding depth and warmth that can enhance emotional resilience.






",2,"Main accords in this order
1.aromatic
2.fresh spicy
3.fruity
4.herbal
5.fresh
6.sweet
7.musky
8.aquatic
9.green",3- money,"MC4 is a scent that captures the spirit of the modern rebel — bold, fresh, and unapologetically free. It opens with the juicy crispness of pear, instantly invigorating, like a morning breeze through city streets. Herbal cannabis and zesty ginger cut through the sweetness, adding an edge that feels daring and raw. As it settles, sage and geranium bring an aromatic sophistication, grounding the high-energy top notes with effortless style. The dry-down is sensual and confident — musk and leather wrap the wearer in a warm, urban coolness.

MC4 evokes a place where skyscrapers meet rooftop gardens, where style is self-expression and every corner hums with creativity. It’s Brooklyn at golden hour. Berlin at 2 a.m. A scent for the youthful and restless — those who live loud, love hard, and never play by the rules. MC$ isn’t just a fragrance — it’s an attitude bottled in motion."
Male,MC5,Men Citrus 5,Citrus,NA,Between a lime and a Yuzu: Sexy Cedar,amber,"Grapefruit
Lemon
Mint
Bergamot
Pink Pepper
Aldehydes
Coriander","Ginger
Nutmeg
Jasmine
Melon","Incense
Amber
Cedar
Sandalwood
Patchouli
Amberwood
Labdanum","Grapefruit, lemon, mint, and bergamot were prized for freshness and purification; pink pepper and coriander used in rituals and healing; aldehydes revolutionized modern perfumery. Ginger and nutmeg held spice trade value; jasmine symbolized love; melon for abundance. Incense, amber, cedar, sandalwood, patchouli, amberwood, and labdanum were sacred in spiritual and aromatic traditions.","Ginger, nutmeg, jasmine, and melon enhance circulation, ease tension, and uplift mood. Incense, amber, cedar, sandalwood, patchouli, amberwood, and labdanum provide grounding, reduce anxiety, and support emotional clarity. Grapefruit, lemon, mint, bergamot, pink pepper, aldehydes, and coriander energize the mind and purify the senses.",9,"Main accords
1- citrus
2- amber
3- woody
4- fresh spicy
5- aromatic
6- warm spicy
7- smoky
8- fresh
9- balsamic
10- powdery",3- money,"MC5 is a bold, sophisticated blend that opens with zesty grapefruit, lemon, mint, bergamot, pink pepper, aldehydes, and coriander—offering a fresh, sparkling burst that awakens the senses. The heart introduces a warm mix of ginger, nutmeg, jasmine, and juicy melon, adding spice, softness, and vibrancy. Anchored by a rich, resinous base of incense, amber, cedar, sandalwood, patchouli, amberwood, and labdanum, the fragrance exudes depth, mystique, and luxury. With dominant citrus, amber, and woody accords, MC5 is both energizing and grounding—perfect for those who seek a scent that symbolizes success, confidence, and the richness of life."
Male,MC6,Men Citrus 6,Citrus,NA,I'm mangoing crazy: Lotus Bulrush,Green mango.,"Grapefruit
Green Mango
Tomato
Carrot","Lotus
Bulrush
Orange
Hiacynth
Peony","Musk
Iris
Incense
Labdanum
Cinnamon",Lotus symbolizes purity and enlightenment in ancient cultures; bulrush appears in biblical and Egyptian lore; orange signifies joy; hyacinth and peony represent beauty and rebirth. Musk adds sensual depth; iris denotes royalty; incense and labdanum were used in sacred rituals; cinnamon valued in trade and spiritual ceremonies.,"Grapefruit, green mango, tomato, and carrot are rich in antioxidants, boost immunity, and refresh the senses. Lotus, bulrush, orange, hyacinth, and peony promote calm, emotional balance, and skin hydration. Musk, iris, incense, labdanum, and cinnamon ground the mind, soothe stress, and enhance focus.",5,"Main accords
1- citrus
2- aromatic
3- floral
4- fresh spicy
5- green
6- fruity
7- tropical
8- powdery
9- herbal
10- sweet",4- Season,"MC6 is a vibrant and unconventional fragrance that opens with zesty grapefruit, crisp green mango, tomato, and carrot—delivering a refreshing, antioxidant-rich burst that awakens the senses. Its heart blossoms with lotus, bulrush, orange, hyacinth, and peony, offering a calming, floral freshness rooted in nature and symbolic beauty. The base reveals a warm, grounding blend of musk, iris, incense, labdanum, and cinnamon—rich in spiritual and aromatic tradition. With citrus, floral, and green accords, MC6 captures the essence of changing seasons—fresh like spring, bright like summer, and comforting like autumn. Ideal for those who embrace renewal, balance, and creative expression."
Male,MC7,Men Citrus 7,Citrus,NA,Rich & Resinable : Ambergris,Ambergris,"Pear
Bergamot
Mandarin Orange
Ginger","Orange Blossom
Georgywood","Amber
Musk
Akigalawood
Cedar",Mandarin orange symbolizes joy and was used in traditional medicine; ginger valued in ancient trade for healing. Orange blossom signifies purity; Georgywood is a modern woody note. Amber and musk offer warmth and sensuality; Akigalawood and cedar used in sacred rituals; ambergris prized in royal perfumery.,"Pear and orange blossom uplift mood, reduce stress, and provide antioxidants like vitamin C for skin health and immunity. Georgywood promotes calm and grounding. Amber, musk, Akigalawood, and cedar offer anti-inflammatory properties, emotional healing, and support relaxation, helping restore inner balance and peace.",8,"Main accords
1- citrus
2- fruity
3- sweet
4- musky
5- woody
6- fresh spicy
7- white floral
8- oud
9- fresh
10- powdery",3- money,"MC7 is a radiant, modern fragrance that opens with juicy pear, bergamot, mandarin orange, and a spark of ginger—bringing brightness, vitality, and warmth. At its heart, orange blossom and Georgywood offer a unique balance of floral purity and contemporary woody depth. The base is rich and sensual, blending amber, musk, Akigalawood, cedar, and a hint of luxurious ambergris for a long-lasting, elegant finish. With citrus, fruity, musky, and woody accords, MC7 evokes confidence, clarity, and refined power. Ideal for those who value success with soul, this scent balances freshness with sophistication—an olfactory expression of modern prosperity."
